"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating Diverse Large Language Models for Automatic and General Bug Reproduction","S. Kang; J. Yoon; N. Askarbekkyzy; S. Yoo","Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea; Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea; Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea; Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea",IEEE Transactions on Software Engineering,"17 Oct 2024","2024","50","10","2677","2694","Bug reproduction is a critical developer activity that is also challenging to automate, as bug reports are often in natural language and thus can be difficult to transform to test cases consistently. As a result, existing techniques mostly focused on crash bugs, which are easier to automatically detect and verify. In this work, we overcome this limitation by using large language models (LLMs), which have been demonstrated to be adept at natural language processing and code generation. By prompting LLMs to generate bug-reproducing tests, and via a post-processing pipeline to automatically identify promising generated tests, our proposed technique Libro could successfully reproduce about one-third of all bugs in the widely used Defects4J benchmark. Furthermore, our extensive evaluation on 15 LLMs, including 11 open-source LLMs, suggests that open-source LLMs also demonstrate substantial potential, with the StarCoder LLM achieving 70% of the reproduction performance of the closed-source OpenAI LLM code-davinci-002 on the large Defects4J benchmark, and 90% of performance on a held-out bug dataset likely not part of any LLM's training data. In addition, our experiments on LLMs of different sizes show that bug reproduction using Libro improves as LLM size increases, providing information as to which LLMs can be used with the Libro pipeline.","1939-3520","","10.1109/TSE.2024.3450837","National Research Foundation of Korea (NRF)(grant numbers:RS-2023-00208998); Engineering Research Center Program(grant numbers:2021R1A5A1021944); Institute for Information and Communications Technology Promotion(grant numbers:IITP2022-0-00995); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10664637","Test generation;natural language processing;software engineering","Computer bugs;Codes;Pipelines;Large language models;Debugging;Java;Computational modeling","","7","","58","IEEE","4 Sep 2024","","","IEEE","IEEE Journals"
"Porting an LLM based Application from ChatGPT to an On-Premise Environment","T. Paloniemi; M. Setälä; T. Mikkonen","University of Jyväskylä, Jyväskylä, Finland; Solita Tampere, Finland; University of Jyväskylä, Jyväskylä, Finland",2025 IEEE/ACM 22nd International Conference on Software and Systems Reuse (ICSR),"10 Jun 2025","2025","","","78","83","Given the data-intensive nature of Machine Learning (ML) systems in general, and Large Language Models (LLM) in particular, using them in cloud based environments can become a challenge due to legislation related to privacy and security of data. Taking such aspects into consideration implies porting the LLMs to an on-premise environment, where privacy and security can be controlled. In this paper, we study this porting process of a real-life application using ChatGPT, which runs in a public cloud, to an on-premise environment. The application being ported is AIPA, a system that leverages Large Language Models (LLMs) and sophisticated data analytics to enhance the assessment of procurement call bids. The main considerations in the porting process include transparency of open source models and cost of hardware, which are central design choices of the on-premise environment. In addition to presenting the porting process, we evaluate downsides and benefits associated with porting.","","979-8-3315-2617-7","10.1109/ICSR66718.2025.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024507","Porting;Large Language Models;LLMs","Procurement;Cloud computing;Privacy;Costs;Large language models;Legislation;Machine learning;Chatbots;Software;Hardware","","","","31","IEEE","10 Jun 2025","","","IEEE","IEEE Conferences"
"On the Evaluation of Large Language Models in Unit Test Generation","L. Yang; C. Yang; S. Gao; W. Wang; B. Wang; Q. Zhu; X. Chu; J. Zhou; G. Liang; Q. Wang; J. Chen","College of Intelligence and Computing, Tianjin University, China; College of Intelligence and Computing, Tianjin University, China; School of Future Technology, Tianjin University, China; College of Intelligence and Computing, Tianjin University, China; School of Computer and Information Technology, Beijing Jiaotong University, China; Key Laboratory of HCST, MoE DCST, Peking University, China; Huawei Cloud Computing Co. Ltd., China; Huawei Cloud Computing Co. Ltd., China; Huawei Cloud Computing Co. Ltd., China; Huawei Cloud Computing Co. Ltd., China; College of Intelligence and Computing, Tianjin University, China",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"29 Nov 2024","2024","","","1607","1619","Unit testing is an essential activity in software development for verifying the correctness of software components. However, manually writing unit tests is challenging and time-consuming. The emergence of Large Language Models (LLMs) offers a new direction for automating unit test generation. Existing research primarily focuses on closed-source LLMs (e.g., ChatGPT and CodeX) with fixed prompting strategies, leaving the capabilities of advanced open-source LLMs with various prompting settings unexplored. Particularly, open-source LLMs offer advantages in data privacy protection and have demonstrated superior performance in some tasks. Moreover, effective prompting is crucial for maximizing LLMs’ capabilities. In this paper, we conduct the first empirical study to fill this gap, based on 17 Java projects, five widely-used open-source LLMs with different structures and parameter sizes, and comprehensive evaluation metrics. Our findings highlight the significant influence of various prompt factors, show the performance of open-source LLMs compared to the commercial GPT-4 and the traditional Evosuite, and identify limitations in LLM-based unit test generation. We then derive a series of implications from our study to guide future research and practical use of LLM-based unit test generation.CCS CONCEPTS • Software and its engineering → Software testing and debugging.","2643-1572","979-8-4007-1248-7","","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765033","Large Language Model;Unit Test Generation;Empirical Study","Software testing;Codes;Large language models;Training data;Writing;Syntactics;Software;Test pattern generators;Defect detection;Software engineering","","4","","94","","29 Nov 2024","","","IEEE","IEEE Conferences"
"Stealing Watermarks of Large Language Models via Mixed Integer Programming","Z. Zhang; X. Zhang; Y. Zhang; L. Y. Zhang; C. Chen; S. Hu; A. Gill; S. Pan","University of Technology Sydney, Sydney, Australia; Griffith University, Gold Coast, Australia; University of Technology Sydney, Sydney, Australia; Griffith University, Gold Coast, Australia; Royal Melbourne Institute of Technology, Melbourne, Australia; Huazhong University of Science and Technology, Wuhan, China; University of Technology Sydney, Sydney, Australia; Griffith University, Gold Coast, Australia",2024 Annual Computer Security Applications Conference (ACSAC),"18 Mar 2025","2024","","","46","60","The Large Language Model (LLM) watermark is a newly emerging technique that shows promise in addressing concerns surrounding LLM copyright, monitoring AI-generated text, and preventing its misuse. The LLM watermark scheme commonly includes generating secret keys to partition the vocabulary into green and red lists, applying a perturbation to the logits of tokens in the green list to increase their sampling likelihood, thus facilitating watermark detection to identify AI-generated text if the proportion of green tokens exceeds a threshold. However, recent research indicates that watermarking methods using numerous keys are susceptible to removal attacks, such as token editing, synonym substitution, and paraphrasing, with robustness declining as the number of keys increases. Therefore, the state-of-the-art watermark schemes that employ fewer or single keys have been demonstrated to be more robust against text editing and paraphrasing. In this paper, we propose a novel green list stealing attack against the state-of-the-art LLM watermark scheme and systematically examine its vulnerability to this attack. We formalize the attack as a mixed integer programming problem with constraints. We evaluate our attack under a comprehensive threat model, including an extreme scenario where the attacker has no prior knowledge, lacks access to the watermark detector API, and possesses no information about the LLM’s parameter settings or watermark injection/detection scheme. Extensive experiments on LLMs, such as OPT and LLaMA, demonstrate that our attack can successfully steal the green list and remove the watermark across all settings.","2576-9103","979-8-3315-2088-5","10.1109/ACSAC63791.2024.00021","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10917955","Large Language Model;LLM Security;Watermarking;Security and Privacy","Integer programming;Threat modeling;Vocabulary;Privacy;Large language models;Perturbation methods;Watermarking;Detectors;Programming;Robustness","","","","34","IEEE","18 Mar 2025","","","IEEE","IEEE Conferences"
"Dynamic Data Integration for Resilience to Sensor Attacks in Multi-Agent Systems","L. Burbano; L. F. Cómbita; N. Quijano; S. Rueda","Departamento de Ingeniería Eléctrica y Electrónica, Universidad de Los Andes, Bogotá, Colombia; Departamento de Ingeniería Eléctrica y Electrónica, Universidad de Los Andes, Bogotá, Colombia; Departamento de Ingeniería Eléctrica y Electrónica, Universidad de Los Andes, Bogotá, Colombia; Departamento de Ingeniería de Sistemas y Computación, Universidad de Los Andes, Bogotá, Colombia",IEEE Access,"26 Feb 2021","2021","9","","31236","31245","In recent years the number of security incidents affecting control systems has increased. These incidents have shown the need to develop strategies to improve system resilience to cyber-attacks. This paper presents a practical implementation of a strategy to detect cyber-attacks and mitigate their effects on sensors of a multi-agent system. The proposed approach computes, in real-time, a convex combination of measurements from main and redundant sensors, producing a trust value of the measurement and feeding it to the controller. We implemented this approach on a testbed of ground robots in formation. Experimental results to various kinds of attacks and a key performance index show that the proposed strategy reduces the effects of attacks not only on the affected agent, but also prevents the propagation of the attack over the remaining agents.","2169-3536","","10.1109/ACCESS.2021.3059560","Air Force Office of Scientific Research(grant numbers:FA9550-19-1-0014); Comisión de Estudios No. 015 de 2014 by Universidad Distrital Francisco José de Caldas; Convocatoria 727 Doctorados Nacionales 2015 by Colciencias; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354779","Cyber-physical systems;multi-agent systems;resilience to sensor attacks;sensor attacks","Sensors;Robots;Sensor systems;Robot sensing systems;Wheels;Multi-agent systems;Mobile robots","","10","","22","CCBY","16 Feb 2021","","","IEEE","IEEE Journals"
"Robust Pricing Mechanism for Resource Sustainability Under Privacy Constraint in Competitive Online Learning Multi-Agent Systems","E. Tampubolon; H. Boche","Lehrstuhl für Theoretische Informationstechnik, Technische Universität München; Lehrstuhl für Theoretische Informationstechnik, Technische Universität München","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","8733","8737","We consider the problem of resource congestion control for competing online learning agents under privacy and security constraints. Based on the non-cooperative game as the model for agents' interaction and the noisy online mirror ascent as the model for the rationality of the agents, we propose a novel pricing mechanism that gives the agents incentives for sustainable use of the resources. An advantage of our method is that it is privacy-preserving in the sense that mainly the resource congestion serves as an orientation for our pricing mechanism, in place of the agents' preference and state. Moreover, our method is robust against adversary agents' feedback in the form of the noisy gradient. We present the following result of our theoretical investigation: In case that the feedback noise is persistent, and for several choices of the intrinsic parameter (the learning rate) of the agents and of the mechanism parameters (the learning rate of the price-setters, their progressivity, and the extrinsic price sensitivity of the agents), we show that the accumulative violation of the resource constraints of the resulted iterates is sub-linear w.r.t the time horizon. To support our theoretical findings, we provide some numerical simulations.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9054699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054699","Game Theory;Online Learning;Pricing Mechanism;Resource Sustainability;Multi-Agent Systems","Privacy;Pricing;Games;Signal processing;Noise measurement;Sustainable development;Speech processing","","3","","30","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
"Improving the Efficiency of IDPS by using Hybrid Methods from Artificial Intelligence","G. Tsochev; R. Trifonov; R. Yoshinov; S. Manolov; G. Pavlova","Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Laboratory of Telematics, Bulgarian Academy of Sciences, Sofia, Bulgaria; Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria",2019 International Conference on Information Technologies (InfoTech),"7 Oct 2019","2019","","","1","4","The present paper describes some of the results obtained in the Faculty of Computer Systems and Technology at Technical University of Sofia in the implementation of project related to the application of intelligent methods for increasing the security in computer networks. Also is made a survey about existing hybrid methods, which are using several artificial intelligent methods for cyber defense. The paper introduces a model for intrusion detection systems where multi agent systems are the bases and artificial intelligence are applicable by the means simple real-time models constructed in laboratory environment.","","978-1-7281-3274-7","10.1109/InfoTech.2019.8860895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8860895","multi-agent systems;artificial intelligence;network and information security;intrusion detection system;intrusion prevention system;reinforcement learning","Monitoring;Computational modeling;IP networks;Artificial intelligence;Optimization;Fuzzy logic;Security","","4","","12","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Systematic Literature Review of Prompt Engineering Patterns in Software Engineering","Y. Sasaki; H. Washizaki; J. Li; D. Sander; N. Yoshioka; Y. Fukazawa","Waseda University, Japan; Waseda University, Japan; Waseda University, Japan; University of Hamburg, Germany; Waseda University, Japan; Waseda University, Japan","2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)","26 Aug 2024","2024","","","670","675","Advancements in large language models (LLMs) are transforming software engineering through innovative prompt engineering strategies. By analyzing prompt-driven enhancements across key software engineering tasks, we present a sys-tematic literature review and a pioneering taxonomy elucidating the practical applications of prompt engineering in software engineering. Our taxonomy offers a foundational framework that clarifies the roles of prompt engineering and measures its impact, thereby guiding evolving AI -driven software engineering research and practices.","2836-3795","979-8-3503-7696-8","10.1109/COMPSAC61105.2024.00096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10633588","prompt engineering;software engineering;sys-tematic literature review;large language model;LLM application","Technological innovation;Large language models;Taxonomy;Market research;Software;Prompt engineering;Software measurement","","4","","35","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"The Fault in our Stars: Quality Assessment of Code Generation Benchmarks","M. L. Siddiq; S. Dristi; J. Saha; J. C. S. Santos","University of Notre Dame, Notre Dame, IN, USA; University of Virginia, Charlottesville, VA, USA; University of Virginia, Charlottesville, VA, USA; University of Notre Dame, Notre Dame, IN, USA",2024 IEEE International Conference on Source Code Analysis and Manipulation (SCAM),"19 Dec 2024","2024","","","201","212","Large Language Models (LLMs) are gaining popularity among software engineers. A crucial aspect of developing effective code generation LLMs is to evaluate these models using a robust benchmark. Evaluation benchmarks with quality issues can provide a false sense of performance. In this work, we conduct the first-of-its-kind study of the quality of prompts within benchmarks used to compare the performance of different code generation models. To conduct this study, we analyzed 3,566 prompts from 9 code generation benchmarks to identify quality issues in them. We also investigated whether fixing the identified quality issues in the benchmarks' prompts affects a model's performance. We also studied memorization issues of the evaluation dataset, which can put into question a benchmark's trustworthiness. We found that code generation evaluation benchmarks mainly focused on Python and coding exercises and had very limited contextual dependencies to challenge the model. These datasets and the developers' prompts suffer from quality issues like spelling and grammatical errors, unclear sentences to express developers' intent, and not using proper documentation style. Fixing all these issues in the benchmarks can lead to a better performance for Python code generation, but not a significant improvement was observed for Java code generation. We also found evidence that GPT-3.5-Turbo and CodeGen-2.5 models may have data contamination issues.","2470-6892","979-8-3315-2850-8","10.1109/SCAM63643.2024.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795375","benchmarks;code generation;data quality;data contamination","Java;Codes;Source coding;Large language models;Documentation;Benchmark testing;Software;Quality assessment;Contamination;Python","","1","","66","IEEE","19 Dec 2024","","","IEEE","IEEE Conferences"
"A Binary Question Answering System for Diagnosing Mental Health Syndromes powered by Large Language Model with Custom-Built Dataset","D. Pawar; S. Phansalkar","MIT Art Design Technology University, Pune, India; MIT Art Design Technology University, Pune, India",2024 IEEE 4th International Conference on ICT in Business Industry & Government (ICTBIG),"13 Mar 2025","2024","","","1","8","With telemedicine and remote patient monitoring, the need for accessible mental health resources has become increasingly apparent. This work presents a binary question-answering system tailored for individuals experiencing depression, utilizing Large Language Models (LLMs) designed to handle the complexities of mental health inquiries. By examining existing LLMs, a system enhanced by prompt engineering on pre-trained models was developed to meet the particular necessities of those seeking help for depression. Utilizing depression inventories and dictionaries, a detailed dataset of depression symptoms was compiled, creating precise prompts to elicit comprehensive and relevant responses from the LLMs. The system was tested using zero-shot, one-shot, and few-shot learning techniques, with results compared against human-generated responses to assess efficacy. This study confirms the flexibility and accuracy of LLMs in managing sensitive mental health conversations and serves as a foundation for future developments. Further enhancement of the system is proposed through specialized fine-tuning of LLMs with a dedicated corpus of depression-related prompts. The goal is to deliver a scalable, empathetic tool that provides timely and effective support for individuals battling mental health issues, leveraging cutting-edge AI technology to address a critical gap in mental health care.","","979-8-3315-1898-1","10.1109/ICTBIG64922.2024.10911079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911079","Mental Health;Depression;Symptoms;Large Language Models;Prompt Engineering;Fine Tuning;Question Answering;Biomedical;Healthcare","Patient monitoring;Large language models;Telemedicine;Mental health;Oral communication;Medical services;Depression;Question answering (information retrieval);Prompt engineering;Tuning","","","","25","IEEE","13 Mar 2025","","","IEEE","IEEE Conferences"
