Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Code Generation by Example Using Symbolic Machine Learning,SN Computer Science,,,,10.1007/s42979-022-01573-4,Kevin LanoQiaomu Xue,2023,https://link.springer.com/article/10.1007/s42979-022-01573-4,Article
Learning to Expand: Dynamic Adaptive Monte-Carlo Tree Search for Code Generation,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9994-0_20,Feng Ji,2025,https://link.springer.com/chapter/10.1007/978-981-96-9994-0_20,Conference paper
Instruct-Code-Llama: Improving Capabilities of Language Model in Competition Level Code Generation by Online Judge Feedback,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-97-5669-8_11,Zhaofeng LiuJing SuJia CaiJingzhi YangChenfan Wu,2024,https://link.springer.com/chapter/10.1007/978-981-97-5669-8_11,Conference paper
Graph-Based Fault Localization in&#xa0;Python Projects with&#xa0;Class-Imbalanced Learning,Engineering Applications of Neural Networks,,,,10.1007/978-3-031-62495-7_27,Apoorva Anand KulkarniDivya G. NiranjanNoel SajuP. Rakshith ShenoyArti Arya,2024,https://link.springer.com/chapter/10.1007/978-3-031-62495-7_27,Conference paper
"Fine-Tuning GPT-2 to&#xa0;Patch Programs, Is It Worth It?",Computational Science and Its Applications – ICCSA 2022 Workshops,,,,10.1007/978-3-031-10542-5_6,Márk LajkóDániel HorváthViktor CsuvikLászló Vidács,2022,https://link.springer.com/chapter/10.1007/978-3-031-10542-5_6,Conference paper
PAVR: A Pre-Training Approach with Self-attention for Vulnerability Repair,Network Simulation and Evaluation,,,,10.1007/978-981-97-4522-7_30,Kaifeng PengYulong FuJincheng YangWei YiJin CaoHui Li,2024,https://link.springer.com/chapter/10.1007/978-981-97-4522-7_30,Conference paper
Demystifying API misuses in deep learning applications,Empirical Software Engineering,,,,10.1007/s10664-023-10413-9,Deheng YangKui LiuYan LeiLi LiHuan XieChunyan LiuZhenyu WangXiaoguang MaoTegawendé F. Bissyandé,2024,https://link.springer.com/article/10.1007/s10664-023-10413-9,Article
Transformer GPT-2 Model for&#xa0;Code Prediction in&#xa0;Machine Learning Projects,Information Management and Big Data,,,,10.1007/978-3-031-91428-7_17,Tito Peng Wu PanLuis Martin Canaval Sanchez,2025,https://link.springer.com/chapter/10.1007/978-3-031-91428-7_17,Conference paper
A controlled experiment of different code representations for learning-based program repair,Empirical Software Engineering,,,,10.1007/s10664-022-10223-5,Marjane NamavarNoor NashidAli Mesbah,2022,https://link.springer.com/article/10.1007/s10664-022-10223-5,Article
Rough Set Theory Applied to&#xa0;Feature Selection,Rough Sets,,,,10.1007/978-3-031-92744-7_7,James George Vasconcelos Alves JúniorNicolas Fonteles LeiteJosias Batista GuimarãesJoão Alexandre Lobo MarquesSergio Silva RibeiroAuzuir Ripardo de Alexandria,2025,https://link.springer.com/chapter/10.1007/978-3-031-92744-7_7,Conference paper
Machine Learning for&#xa0;the&#xa0;Evaluation of&#xa0;the&#xa0;Nephrops norvegicus Population,"Machine Learning, Optimization, and Data Science",,,,10.1007/978-3-031-82484-5_21,Marco ReggianniniMichela MartinelliOscar PapiniLorenzo ZacchettiFilippo DomenichettiGabriele Pieri,2025,https://link.springer.com/chapter/10.1007/978-3-031-82484-5_21,Conference paper
"<Emphasis FontCategory=""NonProportional"">DPEfficR</Emphasis>: a data and parameter efficient approach for training neural API recommendation model",Automated Software Engineering,,,,10.1007/s10515-025-00530-8,Haibo YuXiaohong HanSimin ChenXiaoning FengGuangzhao SunWei Yang,2025,https://link.springer.com/article/10.1007/s10515-025-00530-8,Article
SPVF: security property assisted vulnerability fixing via attention-based models,Empirical Software Engineering,,,,10.1007/s10664-022-10216-4,Zhou ZhouLili BoXiaoxue WuXiaobing SunTao ZhangBin LiJiale ZhangSicong Cao,2022,https://link.springer.com/article/10.1007/s10664-022-10216-4,Article
Dual Learning Model of&#xa0;Code Summary and&#xa0;Generation Based on&#xa0;Transformer,Web Information Systems and Applications,,,,10.1007/978-981-97-7707-5_4,Jiaying WangLijun CaoJing ShanXiaoxu SongJunyi Jiang,2024,https://link.springer.com/chapter/10.1007/978-981-97-7707-5_4,Conference paper
Debugging convergence problems in probabilistic programs via program representation learning with SixthSense,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-024-00737-2,Zixin HuangSaikat DuttaSasa Misailovic,2024,https://link.springer.com/article/10.1007/s10009-024-00737-2,Article
Deep Learning Based Measurement Model for&#xa0;Monte Carlo Localization in&#xa0;the&#xa0;RoboCup Humanoid League,RoboCup 2024: Robot World Cup XXVII,,,,10.1007/978-3-031-85859-8_4,Jasper GüldensteinNiklas FiedlerJianwei Zhang,2025,https://link.springer.com/chapter/10.1007/978-3-031-85859-8_4,Conference paper
Identifying E-Commerce Fraud Through User Behavior Data: Observations and Insights,Data Science and Engineering,,,,10.1007/s41019-024-00275-6,Ziyi ZhangHang YinSusie Xi RaoXiao YanZhurong WangWeiming LiangYang ZhaoYinan ShanRuixuan ZhangYuhao LinJiawei Jiang,2025,https://link.springer.com/article/10.1007/s41019-024-00275-6,Article
